n_data,clustering,time
1400,MiniBatchKMeans,146.468 ms
700,MiniBatchKMeans,138.106 ms
350,MiniBatchKMeans,135.475 ms
280,MiniBatchKMeans,136.628 ms
200,MiniBatchKMeans,135.247 ms
175,MiniBatchKMeans,9.026 ms
140,MiniBatchKMeans,8.767 ms
100,MiniBatchKMeans,8.234 ms
70,MiniBatchKMeans,8.078 ms
56,MiniBatchKMeans,7.977 ms
50,MiniBatchKMeans,8.152 ms
40,MiniBatchKMeans,8.129 ms
35,MiniBatchKMeans,7.854 ms
28,MiniBatchKMeans,7.849 ms
25,MiniBatchKMeans,8.149 ms
20,MiniBatchKMeans,7.827 ms
14,MiniBatchKMeans,7.87 ms
10,MiniBatchKMeans,8.075 ms
8,MiniBatchKMeans,7.581 ms
7,MiniBatchKMeans,7.571 ms
5,MiniBatchKMeans,7.868 ms
4,MiniBatchKMeans,7.93 ms
2,MiniBatchKMeans,7.527 ms
1400,KMeans,80.433 ms
700,KMeans,115.999 ms
350,KMeans,100.541 ms
280,KMeans,117.363 ms
200,KMeans,106.828 ms
175,KMeans,12.272 ms
140,KMeans,11.83 ms
100,KMeans,11.594 ms
70,KMeans,11.338 ms
56,KMeans,11.196 ms
50,KMeans,11.145 ms
40,KMeans,10.948 ms
35,KMeans,11.036 ms
28,KMeans,11.17 ms
25,KMeans,10.787 ms
20,KMeans,11.134 ms
14,KMeans,9.781 ms
10,KMeans,12.019 ms
8,KMeans,12.489 ms
7,KMeans,12.198 ms
5,KMeans,12.03 ms
4,KMeans,11.36 ms
2,KMeans,9.636 ms
1400,SpectralClustering,14.435 ms
700,SpectralClustering,14.562 ms
350,SpectralClustering,12.737 ms
280,SpectralClustering,12.892 ms
200,SpectralClustering,12.642 ms
175,SpectralClustering,12.54 ms
140,SpectralClustering,12.703 ms
100,SpectralClustering,12.673 ms
70,SpectralClustering,12.535 ms
56,SpectralClustering,12.882 ms
50,SpectralClustering,12.764 ms
40,SpectralClustering,12.605 ms
35,SpectralClustering,12.953 ms
28,SpectralClustering,13.077 ms
25,SpectralClustering,12.783 ms
20,SpectralClustering,17.067 ms
14,SpectralClustering,14.47 ms
10,SpectralClustering,14.221 ms
8,SpectralClustering,13.667 ms
7,SpectralClustering,14.072 ms
5,SpectralClustering,14.358 ms
4,SpectralClustering,14.228 ms
2,SpectralClustering,12.491 ms
1400,Birch,23.013 ms
700,Birch,27.367 ms
350,Birch,3.447 ms
280,Birch,3.329 ms
200,Birch,3.196 ms
175,Birch,3.096 ms
140,Birch,3.269 ms
100,Birch,3.029 ms
70,Birch,2.97 ms
56,Birch,2.911 ms
50,Birch,2.945 ms
40,Birch,2.983 ms
35,Birch,2.965 ms
28,Birch,2.841 ms
25,Birch,3.026 ms
20,Birch,2.914 ms
14,Birch,13.27 ms
10,Birch,16.482 ms
8,Birch,13.594 ms
7,Birch,14.12 ms
5,Birch,13.42 ms
4,Birch,13.024 ms
2,Birch,13.495 ms
1400,AgglomerativeClustering,2.018 ms
700,AgglomerativeClustering,1.164 ms
350,AgglomerativeClustering,0.881 ms
280,AgglomerativeClustering,0.801 ms
200,AgglomerativeClustering,0.765 ms
175,AgglomerativeClustering,0.724 ms
140,AgglomerativeClustering,0.707 ms
100,AgglomerativeClustering,0.652 ms
70,AgglomerativeClustering,0.591 ms
56,AgglomerativeClustering,0.61 ms
50,AgglomerativeClustering,0.57 ms
40,AgglomerativeClustering,0.548 ms
35,AgglomerativeClustering,0.538 ms
28,AgglomerativeClustering,0.518 ms
25,AgglomerativeClustering,0.529 ms
20,AgglomerativeClustering,0.473 ms
14,AgglomerativeClustering,0.464 ms
10,AgglomerativeClustering,0.439 ms
8,AgglomerativeClustering,0.425 ms
7,AgglomerativeClustering,0.465 ms
5,AgglomerativeClustering,0.437 ms
4,AgglomerativeClustering,0.44 ms
2,AgglomerativeClustering,0.423 ms
